,type,price,private_owner,floor_built,floor,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,district,subdistrict,postalcode,last_update,Street,latitude,longitude
0,Flat,1400,0,60,3.0,2,1,1,1,0,1,1,1,1,1,0,0,0,Chamartín,Castilla,28046.0,November,4,40.47678845,-3.684411844162544
1,Penthouse,1300,0,77,6.0,2,2,1,1,0,1,1,0,0,0,0,0,0,Chamartín,Bernabéu-Hispanoamérica,28016.0,November,,,
2,Duplex,950,0,72,3.0,1,1,1,1,0,1,1,1,1,1,0,0,0,Chamartín,Prosperidad,28002.0,November,,,
3,Flat,2975,0,160,3.0,4,3,1,1,1,1,1,1,1,1,0,0,1,Chamartín,El Viso,,November,,,
4,Studio,650,0,30,4.0,0,1,1,1,0,1,1,1,0,0,1,0,0,Chamartín,Prosperidad,28002.0,November,Calle de Luis Cabrera,40.4434547,-3.6739052
5,Flat,1200,0,54,4.0,1,1,1,1,0,1,1,1,1,0,0,1,1,Chamartín,Ciudad Jardín,28002.0,November,Calle de Nieremberg,40.4476613,-3.6718936
6,Flat,1290,0,55,0.0,2,1,1,1,0,1,1,1,1,1,0,0,0,Chamartín,Ciudad Jardín,28002.0,November,Calle de Vinaroz,40.4460123,-3.6761917
7,Flat,900,0,35,1.0,1,1,1,1,0,1,1,1,0,0,0,0,0,Chamartín,Prosperidad,28002.0,November,Calle de Ramos Carrión,40.446362,-3.6668842
8,Terraced,3895,0,141,,4,4,1,0,0,1,1,1,1,1,0,0,0,Chamartín,Nueva España,28016.0,November,Calle de la Madre de Dios,40.4634813,-3.6738943
9,Flat,1750,0,148,5.0,3,2,1,1,1,1,1,1,1,1,0,0,1,Chamartín,Castilla,28036.0,November,Calle de Pastora Imperio,40.4823328,-3.6743713
10,Studio,700,0,37,3.0,0,1,1,1,0,1,1,0,0,0,0,1,0,Chamartín,Nueva España,,November,Cámara de Comercio Alemana para España,40.46640075,-3.674538894188464
11,Flat,830,0,50,5.0,1,1,1,1,0,1,1,1,1,1,0,0,0,Chamartín,Prosperidad,28002.0,November,Calle de Canillas,40.4438754,-3.6693273
12,Flat,1200,1,60,3.0,1,1,1,1,0,1,1,1,1,1,0,0,0,Chamartín,Prosperidad,28002.0,November,97,40.4440384,-3.6697555
13,Penthouse,725,0,65,4.0,0,1,1,1,0,1,1,1,1,1,0,0,0,Chamartín,Ciudad Jardín,,November,Plaza de la Charca Verde,40.4508099,-3.6726396
