,type,price,deposit,private_owner,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,district,subdistrict,postalcode,last_update,Street,latitude,longitude
0,Flat,1400,,False,60,,3rd,1954.0,,2,1,True,True,False,True,True,True,True,True,False,False,False,False,Chamartín,Castilla,28046.0,7 November,4,40.47678845,-3.684411844162544
1,Penthouse,1300,1.0,False,77,,6th,1961.0,,2,2,True,True,False,True,True,False,False,False,False,False,False,False,Chamartín,Bernabéu-Hispanoamérica,28016.0,7 November,,,
2,Duplex,950,1.0,False,72,68.0,3rd,1999.0,east,1,1,True,True,False,True,True,True,True,True,False,False,False,False,Chamartín,Prosperidad,28002.0,7 November,,,
3,Flat,2975,1.0,False,160,,3rd,,west,4,3,True,True,True,True,True,True,True,True,False,False,True,False,Chamartín,El Viso,nan,7 November,,,
4,Studio,650,1.0,False,30,,4th,,,0,1,True,True,False,True,True,True,False,False,True,False,False,False,Chamartín,Prosperidad,28002.0,7 November,Calle de Luis Cabrera,40.4434547,-3.6739052
5,Flat,1200,,False,54,47.0,4th,2009.0,west,1,1,True,True,False,True,True,True,True,False,False,True,True,False,Chamartín,Ciudad Jardín,28002.0,7 November,Calle de Nieremberg,40.4476613,-3.6718936
6,Flat,1290,1.0,False,55,50.0,ground,,north,2,1,True,True,False,True,True,True,True,True,False,False,False,False,Chamartín,Ciudad Jardín,28002.0,7 November,Calle de Vinaroz,40.4460123,-3.6761917
7,Flat,900,1.0,False,35,,1st,1970.0,west,1,1,True,True,False,True,True,True,False,False,False,False,False,False,Chamartín,Prosperidad,28002.0,7 November,Calle de Ramos Carrión,40.446362,-3.6668842
8,Terraced,3895,,False,141,140.0,141,,,4,4,True,False,False,True,True,True,True,True,False,False,False,False,Chamartín,Nueva España,28016.0,7 November,Calle de la Madre de Dios,40.4634813,-3.6738943
9,Flat,1750,,False,148,,5th,,east,3,2,True,True,True,True,True,True,True,True,False,False,True,False,Chamartín,Castilla,28036.0,7 November,Calle de Pastora Imperio,40.4823328,-3.6743713
10,Studio,700,,False,37,,3rd,,south,0,1,True,True,False,True,True,False,False,False,False,True,False,False,Chamartín,Nueva España,nan,7 November,Cámara de Comercio Alemana para España,40.46640075,-3.674538894188464
11,Flat,830,1.0,False,50,,5th,,,1,1,True,True,False,True,True,True,True,True,False,False,False,False,Chamartín,Prosperidad,28002.0,4 November,Calle de Canillas,40.4438754,-3.6693273
12,Flat,1200,3.0,True,60,55.0,3rd,,north,1,1,True,True,False,True,True,True,True,True,False,False,False,False,Chamartín,Prosperidad,28002.0,5 November,97,40.4440384,-3.6697555
13,Penthouse,725,2.0,False,65,28.0,4th,1970.0,west,0,1,True,True,False,True,True,True,True,True,False,False,False,False,Chamartín,Ciudad Jardín,nan,5 November,Plaza de la Charca Verde,40.4508099,-3.6726396
14,Flat,1490,,False,65,55.0,1st,1990.0,south,3,1,True,True,False,True,True,False,False,False,False,False,False,False,Chamartín,El Viso,28002.0,5 November,Fitz Burger,40.4434826,-3.6798467
15,Flat,1290,,False,65,55.0,4th,1990.0,south,3,1,True,True,False,True,True,False,False,False,False,False,False,False,Chamartín,El Viso,28002.0,5 November,Fitz Burger,40.4434826,-3.6798467
