,floor_built,subdistrict,bathrooms,floor,district,bedrooms,air_conditioning,fitted_wardrobes,garage_included,private_owner,balcony
5439,85,2633.666621779537,1,1,2432.499556198407,3,0,0,0,1,0
4138,28,1042.5182853548156,1,3,1233.6969424440695,0,1,1,0,0,0
4278,125,1595.4214451878436,2,4,1233.6969424440695,3,1,1,1,0,0
2435,123,1313.6595473494451,2,2,1301.7464633309805,3,0,0,1,0,0
5455,92,1618.0971522731115,1,3,2432.499556198407,2,1,1,0,0,0
4690,46,949.6107613655569,1,0,943.1819623208775,1,0,0,0,0,0
6654,73,1605.973354087283,2,4,1848.1300723995475,2,1,1,1,0,1
1704,150,1955.442642756042,2,4,2161.0284695868604,2,1,1,0,0,0
4764,26,949.6107613655569,1,1,943.1819623208775,1,0,0,0,0,0
4442,85,1107.9035171727414,1,1,1005.9320210441978,1,0,0,0,0,0
4886,79,850.7745479127937,1,2,889.030233659284,4,0,1,0,0,0
2569,30,1313.6595473494451,1,1,1301.7464633309805,0,1,0,0,0,0
4504,69,1060.377218184891,1,3,1005.9320210441978,2,1,1,0,0,0
7642,50,1971.3293388921502,1,1,1848.1300723995475,1,1,1,0,0,1
6061,85,917.7587929318537,1,0,850.803111720161,3,1,0,0,1,0
3482,79,1184.3758531480348,2,3,1773.2995514961183,3,1,1,0,0,0
7383,54,1605.973354087283,1,5,1848.1300723995475,1,0,0,0,0,0
5809,70,1435.4708320168122,1,4,2432.499556198407,2,1,1,0,1,0
3578,151,2360.8286019668476,5,0,1773.2995514961183,4,1,0,1,0,0
4611,75,959.4829136386683,2,6,943.1819623208775,2,1,1,1,1,0
4900,64,995.0274280322236,1,2,889.030233659284,2,0,1,0,0,0
738,90,1477.2405075770378,2,2,1640.7201765841617,2,1,1,0,0,0
6332,141,1479.014960744849,2,10,1629.642194242578,2,1,1,1,0,1
2398,47,1363.5830710241676,1,4,1301.7464633309805,1,1,0,1,0,1
4544,130,1222.3829136386682,2,0,1090.8186581037687,2,1,0,0,0,0
